Country,Quarter,Year,Q,TP_NL,TP_L,ln_TP_NL,ln_TP_L,HICP,IR10Y,D_IFRS17
France,2016 Q3,2016,Q3,151473.15785800002,1679270.0647510001,11.928163712379279,14.333869771696106,0.43333333333333335,0.18,0
France,2016 Q4,2016,Q4,138054.413008,1631590.832965,11.835403183584065,14.30506606797693,0.6666666666666666,0.75,0
France,2017 Q1,2017,Q1,156856.750587,1625414.007372,11.963088251181697,14.301273115064035,1.4666666666666668,1.02,0
France,2017 Q2,2017,Q2,148940.450548,1641768.433001,11.911301844290275,14.311284531644217,1.0333333333333334,0.66,0
France,2017 Q3,2017,Q3,154384.711709,1643587.929001,11.947202894241506,14.31239217172069,0.9666666666666668,0.7,0
France,2017 Q4,2017,Q4,148312.151687,1648674.4578820001,11.907074464667987,14.315482164151712,1.2,0.67,0
France,2018 Q1,2018,Q1,161523.931079,1637943.486367,11.992408590722995,14.30895204119251,1.5,0.83,0
France,2018 Q2,2018,Q2,159144.938291,1658052.0435549999,11.977570627561043,14.321154003542402,2.1333333333333333,0.75,0
France,2018 Q3,2018,Q3,156063.537476,1647558.788472,11.95801849482382,14.314805228164953,2.566666666666667,0.77,0
France,2018 Q4,2018,Q4,148727.63153800002,1636662.039667,11.909871935885114,14.308169384011224,2.1999999999999997,0.7,0
France,2019 Q1,2019,Q1,166306.14509099998,1696539.1241350002,12.021585616338365,14.344100924617488,1.4333333333333333,0.44,0
France,2019 Q2,2019,Q2,165197.11285499998,1748376.479804,12.014894663251647,14.374198189469464,1.3333333333333333,0.08,0
France,2019 Q3,2019,Q3,172956.698623,1806255.172779,12.06079654517352,14.406766294661063,1.2333333333333334,-0.27,0
France,2019 Q4,2019,Q4,159015.970548,1734326.4082920002,11.97675991985635,14.366129658683809,1.2333333333333334,0.04,0
France,2020 Q1,2020,Q1,172591.885864,1676337.213496,12.058685045309717,14.332121741155813,1.3666666666666665,-0.05,0
France,2020 Q2,2020,Q2,177694.905712,1727353.193092,12.087823345819599,14.36210084872159,0.3333333333333333,-0.04,0
France,2020 Q3,2020,Q3,177250.766363,1731244.020904,12.085320768012672,14.364350795282363,0.3666666666666667,-0.21,0
France,2020 Q4,2020,Q4,173951.228807,1741315.194375,12.066530244694258,14.370151244509493,0.10000000000000002,-0.34,0
France,2021 Q1,2021,Q1,185740.40706599999,1696336.446079,12.132105316917993,14.343981451885849,1.0,-0.07,0
France,2021 Q2,2021,Q2,185575.405045,1697274.274737,12.13121657463189,14.344534154454898,1.7666666666666666,0.15,0
France,2021 Q3,2021,Q3,186430.12192099998,1697806.382044,12.135811766466658,14.344847612287067,2.1999999999999997,0.04,0
France,2021 Q4,2021,Q4,179789.341125,1689314.709001,12.099541117421484,14.339833507030315,3.3333333333333335,0.05,0
France,2022 Q1,2022,Q1,188796.67662699998,1615783.239832,12.148425929927381,14.295330375299113,4.2,0.78,0
France,2022 Q2,2022,Q2,183602.658784,1507172.682563,12.120529238458008,14.225746058013524,5.8999999999999995,2.06,0
France,2022 Q3,2022,Q3,181093.57465199998,1448601.2999709998,12.106769163683834,14.186109028141138,6.533333333333334,2.41,0
France,2022 Q4,2022,Q4,175095.067721,1328667.144761,12.073084349521983,14.099686850916859,6.966666666666666,2.62,0
France,2023 Q1,2023,Q1,190487.596276,1330289.962206,12.15734236001698,14.100907493131992,7.0,2.92,1
France,2023 Q2,2023,Q2,190980.972576,1323007.5858470001,12.159929082045421,14.095418176903028,6.066666666666666,2.93,1
France,2023 Q3,2023,Q3,188963.956297,1297420.374096,12.149311568431527,14.075888523426906,5.5,3.24,1
France,2023 Q4,2023,Q4,191489.117327,1351117.138211,12.162586257408398,14.116442318003083,4.166666666666667,2.65,1
France,2024 Q1,2024,Q1,208548.471712,1359167.070684,12.247926771437127,14.122382622062862,3.0,2.82,1
France,2024 Q2,2024,Q2,205533.233939,1354079.266918,12.23336302217368,14.118632273516276,2.5,3.15,1
France,2024 Q3,2024,Q3,205621.085612,1385602.044586,12.23379036378319,14.14164529238535,2.1,2.9,1
France,2024 Q4,2024,Q4,199059.948657,1385881.849784,12.201361307872762,14.141847209632296,1.7,3.01,1
France,2025 Q1,2025,Q1,216920.10752000002,1380205.179691,12.28728439662148,14.13774272701698,1.2,3.43,1
France,2025 Q2,2025,Q2,215732.42222399998,1399029.238769,12.281794132736659,14.151289153192623,0.7999999999999999,3.24,1
France,2025 Q3,2025,Q3,210833.967795,1405540.850552,12.258826220215523,14.15593273368899,0.9333333333333335,3.51,1
Germany,2016 Q3,2016,Q3,180337.20461999997,1289161.222419,12.102583736323803,14.069502349677219,0.39999999999999997,-0.09,0
Germany,2016 Q4,2016,Q4,179966.69610099998,1206735.855036,12.100527091092617,14.003429631917683,1.0333333333333334,0.25,0
Germany,2017 Q1,2017,Q1,200044.16985399998,1193926.837571,12.206293470416563,13.992758295991127,1.7666666666666668,0.35,0
Germany,2017 Q2,2017,Q2,194690.021846,1191864.637132,12.179163941182102,13.99102956070605,1.6666666666666667,0.25,0
Germany,2017 Q3,2017,Q3,193638.844751,1199161.226523,12.173750078073223,13.997132892461785,1.8333333333333333,0.35,0
Germany,2017 Q4,2017,Q4,186200.634499,1212380.093153,12.134580051440135,14.008096004658666,1.5666666666666667,0.3,0
Germany,2018 Q1,2018,Q1,203246.489085,1213490.859416,12.222174753386323,14.009011771706746,1.4666666666666668,0.53,0
Germany,2018 Q2,2018,Q2,203358.551496,1220280.5627930001,12.222725963541894,14.014591359772966,1.9666666666666668,0.33,0
Germany,2018 Q3,2018,Q3,198827.878593,1213943.565383,12.200194797743919,14.009384763016108,2.1666666666666665,0.37,0
Germany,2018 Q4,2018,Q4,195770.406662,1211672.606651,12.184697857012136,14.007512282595078,2.1666666666666665,0.19,0
Germany,2019 Q1,2019,Q1,214559.283923,1243604.3695,12.276341361089168,14.033524470750141,1.5999999999999999,0.01,0
Germany,2019 Q2,2019,Q2,213843.728765,1293030.992628,12.273000787833427,14.072499627016613,1.6333333333333335,-0.31,0
Germany,2019 Q3,2019,Q3,218633.709588,1361413.0484189999,12.295153049551404,14.124033724509333,1.0,-0.59,0
Germany,2019 Q4,2019,Q4,208768.87684799999,1322443.807323,12.248983066639108,14.094991952075015,1.2,-0.3,0
Germany,2020 Q1,2020,Q1,230825.288355,1319391.407359,12.349416375876483,14.092681133212942,1.5333333333333332,-0.54,0
Germany,2020 Q2,2020,Q2,231717.32487100002,1355336.783548,12.35327348048226,14.119560530156727,0.7000000000000001,-0.43,0
Germany,2020 Q3,2020,Q3,228110.874945,1371284.7085,12.337587083352576,14.131258601828273,-0.16666666666666666,-0.52,0
Germany,2020 Q4,2020,Q4,212688.006354,1393100.523306,12.267581611982125,14.14704241333562,-0.6333333333333333,-0.62,0
Germany,2021 Q1,2021,Q1,229009.702857,1346416.68934,12.341519652193355,14.112957317310727,1.7333333333333334,-0.36,0
Germany,2021 Q2,2021,Q2,229042.24478900002,1351020.916197,12.34166174058408,14.116371098833593,2.1999999999999997,-0.29,0
Germany,2021 Q3,2021,Q3,240546.798021,1349849.818002,12.390669935964386,14.115503898301881,3.533333333333333,-0.36,0
Germany,2021 Q4,2021,Q4,234131.480457,1345565.108361,12.36363811883796,14.112324637692957,5.433333333333334,-0.38,0
Germany,2022 Q1,2022,Q1,245306.53410400002,1250008.556506,12.410263867087089,14.038660954459855,6.066666666666666,0.28,0
Germany,2022 Q2,2022,Q2,239788.461335,1120172.667573,12.387512402548792,13.928993398864586,8.233333333333333,1.45,0
Germany,2022 Q3,2022,Q3,236342.90359399997,1060696.647813,12.373039010782259,13.874436465135027,9.4,1.8,0
Germany,2022 Q4,2022,Q4,230472.241671,1043179.621585,12.347885707576955,13.857783935440143,10.833333333333334,2.09,0
Germany,2023 Q1,2023,Q1,253816.43534099997,1066544.298951,12.444366589222515,13.879934352787595,8.766666666666667,2.38,1
Germany,2023 Q2,2023,Q2,251932.64095799997,1063785.734713,12.436917032977426,13.87734455145519,6.8999999999999995,2.38,1
Germany,2023 Q3,2023,Q3,252156.615596,1027522.797379,12.43780566390866,13.842661412336565,5.733333333333333,2.66,1
Germany,2023 Q4,2023,Q4,253709.14445799997,1094272.251578,12.443943789313037,13.905600089850273,3.033333333333333,2.1,1
Germany,2024 Q1,2024,Q1,288337.12724099995,1099938.415365,12.571885655220612,13.910764750169504,2.6999999999999997,2.35,1
Germany,2024 Q2,2024,Q2,289005.902362,1135774.736547,12.574202390283938,13.94282556330699,2.5666666666666664,2.48,1
Germany,2024 Q3,2024,Q3,292436.12721299997,1167107.2058269999,12.58600155330561,13.97003877151128,2.1333333333333333,2.17,1
Germany,2024 Q4,2024,Q4,285801.515198,1160376.760761,12.56305284606637,13.964255304107954,2.533333333333333,2.18,1
Germany,2025 Q1,2025,Q1,308143.732692,1136393.105605,12.638321617686074,13.943369862070305,2.5666666666666664,2.741,1
Germany,2025 Q2,2025,Q2,300468.291019,1143296.6820679998,12.613097506654254,13.949426473459901,2.1,2.52,1
Germany,2025 Q3,2025,Q3,294842.476961,1143459.919348,12.594196516302397,13.949569240976283,2.1,2.69,1
Italy,2016 Q3,2016,Q3,57713.913521999995,536556.42208,10.963253558990942,13.192927002494342,-0.06666666666666667,1.27,0
Italy,2016 Q4,2016,Q4,56798.151229999996,525819.509271,10.947259055411914,13.17271329456638,0.16666666666666666,1.89,0
Italy,2017 Q1,2017,Q1,56403.680718999996,524541.221515,10.940289696331922,13.17027929575127,1.3333333333333333,2.4,0
Italy,2017 Q2,2017,Q2,56027.222446,526800.178836,10.933592966708757,13.174576588327287,1.5999999999999999,2.05,0
Italy,2017 Q3,2017,Q3,55493.075354,532322.790815,10.924013523553906,13.185005333977891,1.3,2.11,0
Italy,2017 Q4,2017,Q4,53110.74218,538763.729358,10.880134487711574,13.197032403802536,1.0666666666666667,1.8,0
Italy,2018 Q1,2018,Q1,52167.113656,544668.66675,10.862207568743148,13.207932937850856,0.8666666666666667,1.97,0
Italy,2018 Q2,2018,Q2,52363.402256,537447.379249,10.865963196064108,13.1945861351199,1.0,2.74,0
Italy,2018 Q3,2018,Q3,51630.043063,537932.782295,10.851859011942686,13.195488891366153,1.6666666666666667,2.96,0
Italy,2018 Q4,2018,Q4,51683.302457,542252.957461,10.852890038446569,13.20348788272865,1.5,2.98,0
Italy,2019 Q1,2019,Q1,51814.241276,561150.3781559999,10.855420318569875,13.237744202338856,1.0333333333333334,2.69,0
Italy,2019 Q2,2019,Q2,52601.856268,582205.026951,10.870506688369273,13.274577944662086,0.9333333333333335,2.28,0
Italy,2019 Q3,2019,Q3,52769.94399099999,612875.230459,10.873697065019579,13.325916654982834,0.3333333333333333,0.9,0
Italy,2019 Q4,2019,Q4,52049.478879,599997.739341,10.85995006206216,13.304681166426185,0.3,1.37,0
Italy,2020 Q1,2020,Q1,50912.282186,590274.373429,10.837859473744718,13.288342747494617,0.23333333333333336,1.55,0
Italy,2020 Q2,2020,Q2,50740.068182999996,615320.106018,10.834471176924541,13.329897908967014,-0.19999999999999998,1.46,0
Italy,2020 Q3,2020,Q3,51938.204748000004,629761.623928,10.857809920660978,13.35309665204848,-0.2333333333333333,0.98,0
Italy,2020 Q4,2020,Q4,51433.749682,643407.66145,10.848049844569369,13.37453380147184,-0.39999999999999997,0.58,0
Italy,2021 Q1,2021,Q1,50948.045962000004,629848.927513,10.838561685844754,13.353235272013261,0.7666666666666666,0.7,0
Italy,2021 Q2,2021,Q2,52809.912809999994,630053.417154,10.87445419468655,13.353559883906653,1.1666666666666667,0.88,0
Italy,2021 Q3,2021,Q3,53617.595854,631923.192941,10.88963257404473,13.356523135586961,2.1333333333333333,0.78,0
Italy,2021 Q4,2021,Q4,53914.021316,627859.561705,10.895145858800493,13.350071792583618,3.766666666666667,1.05,0
Italy,2022 Q1,2022,Q1,52519.938024,593753.116128,10.86894814837034,13.294218882532794,6.033333333333334,1.85,0
Italy,2022 Q2,2022,Q2,52168.794526,545036.983822,10.862239789098144,13.208608931566834,7.366666666666667,3.64,0
Italy,2022 Q3,2022,Q3,51335.505524,520814.433336,10.846137907234983,13.163149083271279,8.966666666666667,4.14,0
Italy,2022 Q4,2022,Q4,51105.85598,511521.207154,10.84165436806034,13.14514432422598,12.5,4.26,0
Italy,2023 Q1,2023,Q1,52757.215068000005,516542.29839400004,10.873455820525265,13.15491245846554,9.533333333333333,4.24,1
Italy,2023 Q2,2023,Q2,53604.722068,511735.3654,10.88939244146205,13.145562905948044,7.766666666666667,4.07,1
Italy,2023 Q3,2023,Q3,56196.796023,487513.16405200004,10.93661502398973,13.09707257223905,5.8,4.51,1
Italy,2023 Q4,2023,Q4,59971.841406,521732.740753,11.00163042114388,13.164910744858048,0.9666666666666667,3.82,1
Italy,2024 Q1,2024,Q1,60020.789795,520713.14044900006,11.002446277771494,13.162954574955092,0.9666666666666667,3.7,1
Italy,2024 Q2,2024,Q2,59898.730910000006,512436.439567,11.000410597067745,13.146931961946466,0.8666666666666667,3.94,1
Italy,2024 Q3,2024,Q3,60376.023947,529637.125597,11.008347350595738,13.179947382350756,1.1666666666666667,3.57,1
Italy,2024 Q4,2024,Q4,61593.974472999995,532504.998815,11.028319327740464,13.185347563967666,1.3,3.32,1
Italy,2025 Q1,2025,Q1,63343.954656,536385.401495,11.056334753508324,13.192608214312743,1.8333333333333333,3.887,1
Italy,2025 Q2,2025,Q2,64056.611417,543594.1531710001,11.067522524745632,13.205958205445212,1.8333333333333333,3.5,1
Italy,2025 Q3,2025,Q3,63784.186927,539969.839626,11.063260584803272,13.199268564436201,1.7,3.56,1
Netherlands,2016 Q3,2016,Q3,29186.141559,280992.312392,10.281449271452344,12.546082589906058,-0.19999999999999998,0.06,0
Netherlands,2016 Q4,2016,Q4,28413.110070000002,266730.146754,10.254605939817655,12.493992739979971,0.4666666666666666,0.44,0
Netherlands,2017 Q1,2017,Q1,29490.021518,265522.954348,10.291807231480131,12.489456572981549,1.3,0.49,0
Netherlands,2017 Q2,2017,Q2,29732.211511,264984.10653600004,10.299986299737546,12.487425127833918,1.0333333333333332,0.5,0
Netherlands,2017 Q3,2017,Q3,29054.469092,262920.943488,10.276927591824622,12.479608670869476,1.4666666666666668,0.53,0
Netherlands,2017 Q4,2017,Q4,27701.596189,261789.24659999998,10.229245314666846,12.475295056748031,1.3333333333333333,0.45,0
Netherlands,2018 Q1,2018,Q1,30269.870556,265603.24918700004,10.317908125693439,12.489758929894379,1.2666666666666666,0.63,0
Netherlands,2018 Q2,2018,Q2,29979.703963,270894.54899599997,10.308275897124847,12.509484906039805,1.5333333333333332,0.57,0
Netherlands,2018 Q3,2018,Q3,28797.573112,265831.241309,10.268046395628934,12.490616955258048,1.8,0.55,0
Netherlands,2018 Q4,2018,Q4,27067.339821999998,265715.129374,10.206083107443336,12.490180071692471,1.8333333333333333,0.4,0
Netherlands,2019 Q1,2019,Q1,29498.425908999998,280518.979115,10.29209218188732,12.544396663384992,2.5,0.15,0
Netherlands,2019 Q2,2019,Q2,29529.833071,292490.390698,10.293156321860494,12.58618709279987,2.6666666666666665,-0.09,0
Netherlands,2019 Q3,2019,Q3,28106.570172,307663.79278300004,10.243758641941794,12.636762883872928,2.8000000000000003,-0.43,0
Netherlands,2019 Q4,2019,Q4,26895.433605000002,292321.66563,10.199711796719045,12.58561006956358,2.733333333333333,-0.14,0
Netherlands,2020 Q1,2020,Q1,29378.710205,293373.117529,10.288025548321738,12.589200516529415,1.3666666666666665,-0.33,0
Netherlands,2020 Q2,2020,Q2,29941.208404999998,306549.51972700004,10.306991018047585,12.63313458648597,1.2666666666666666,-0.29,0
Netherlands,2020 Q3,2020,Q3,29402.855782000002,308616.48445600003,10.288847084051609,12.639854634386705,0.9666666666666668,-0.44,0
Netherlands,2020 Q4,2020,Q4,27297.670433,308473.521672,10.214556645407516,12.639391289379857,0.9333333333333332,-0.55,0
Netherlands,2021 Q1,2021,Q1,29892.128241,294883.558034,10.305350455185499,12.59433583887128,1.8,-0.33,0
Netherlands,2021 Q2,2021,Q2,32325.729291,292567.18040099996,10.383618764592054,12.586449595867034,1.8,-0.24,0
Netherlands,2021 Q3,2021,Q3,29804.974486,291809.19563800003,10.302430587622792,12.583855428069828,2.3666666666666667,-0.34,0
Netherlands,2021 Q4,2021,Q4,27802.892601,289175.39774700004,10.232895344661545,12.574788695616967,5.333333333333333,-0.32,0
Netherlands,2022 Q1,2022,Q1,32477.111676999997,264526.825841,10.388290864120707,12.485697946086695,8.866666666666665,0.34,0
Netherlands,2022 Q2,2022,Q2,33335.921191999994,228229.07534399998,10.41439080904862,12.338105119967905,10.433333333333332,1.82,0
Netherlands,2022 Q3,2022,Q3,30333.077463,213438.963945,10.319994061509586,12.271106187616843,14.133333333333333,2.14,0
Netherlands,2022 Q4,2022,Q4,28436.876695,210629.025616,10.255442057035511,12.257853692623032,13.033333333333333,2.43,0
Netherlands,2023 Q1,2023,Q1,30828.250834000002,214295.13265400002,10.336186783428944,12.27510946843658,7.266666666666667,2.76,1
Netherlands,2023 Q2,2023,Q2,30854.559649,212643.826991,10.337039819027982,12.267373871297346,6.333333333333333,2.75,1
Netherlands,2023 Q3,2023,Q3,28941.749136,201801.89550299998,10.273040438441976,12.215041779835728,2.8000000000000003,3.04,1
Netherlands,2023 Q4,2023,Q4,27093.683090000002,217522.564583,10.207055883386662,12.29005786933891,0.4666666666666666,2.42,1
Netherlands,2024 Q1,2024,Q1,29990.748097,218873.088081,10.308644216313564,12.296247334340407,2.966666666666667,2.62,1
Netherlands,2024 Q2,2024,Q2,30077.891024,212726.88433,10.311545663371756,12.267764388734701,2.9,2.82,1
Netherlands,2024 Q3,2024,Q3,28901.296988,220232.198924,10.271641751571023,12.302437718393662,3.3666666666666667,2.47,1
Netherlands,2024 Q4,2024,Q4,27698.257656,221064.525998,10.229124789691696,12.306209910725743,3.6666666666666665,2.45,1
Netherlands,2025 Q1,2025,Q1,32913.623243,213841.41230599998,10.401641931380206,12.272989955289681,3.3000000000000003,2.936,1
Netherlands,2025 Q2,2025,Q2,32068.447659,216999.90981800001,10.375627886744837,12.287652216937257,3.233333333333333,2.76,1
Netherlands,2025 Q3,2025,Q3,30106.234236999997,213283.120052,10.312487546799403,12.27037576420651,2.6333333333333333,2.88,1
Spain,2016 Q3,2016,Q3,25788.217456,180993.964814,10.15767297884416,12.106218966122993,-0.3333333333333333,1.04,0
Spain,2016 Q4,2016,Q4,25165.594146,170895.146675,10.133233028945657,12.048805470075507,0.7999999999999999,1.44,0
Spain,2017 Q1,2017,Q1,27469.740219,169629.21992299997,10.220840322146168,12.04137027478203,2.6666666666666665,1.72,0
Spain,2017 Q2,2017,Q2,26799.952202,169359.136197,10.196155382989895,12.039776805400132,2.066666666666667,1.45,0
Spain,2017 Q3,2017,Q3,26135.220732,168783.04891100002,10.17103913695027,12.036369434958088,1.8333333333333333,1.54,0
Spain,2017 Q4,2017,Q4,25870.426953,168708.41594,10.16085577883206,12.03592715430812,1.5666666666666667,1.44,0
Spain,2018 Q1,2018,Q1,28020.735904,173867.208975,10.24070008307217,12.066047120026283,1.0666666666666667,1.33,0
Spain,2018 Q2,2018,Q2,27558.262937,171376.304841,10.224057694730481,12.05161703078749,1.8333333333333333,1.37,0
Spain,2018 Q3,2018,Q3,26678.152924,170141.27046499998,10.19160026689837,12.044384373676088,2.2666666666666666,1.46,0
Spain,2018 Q4,2018,Q4,25767.632058,171432.638473,10.156874411880837,12.05194568984733,1.7333333333333332,1.42,0
Spain,2019 Q1,2019,Q1,27831.439563,177821.590263,10.23392158020334,12.088536024740527,1.1333333333333335,1.13,0
Spain,2019 Q2,2019,Q2,27606.431051,186629.45881599997,10.225804033657042,12.136880426403373,1.0333333333333334,0.5,0
Spain,2019 Q3,2019,Q3,27453.074542000002,191636.737405,10.220233445838607,12.163356866248716,0.39999999999999997,0.18,0
Spain,2019 Q4,2019,Q4,26660.054121,182988.987708,10.190921623775651,12.117181253553866,0.5,0.44,0
Spain,2020 Q1,2020,Q1,27533.994543,178904.269461,10.223176685431541,12.094606134281916,0.7000000000000001,0.52,0
Spain,2020 Q2,2020,Q2,28231.817025,182630.764848,10.24820488421339,12.115221715142056,-0.6333333333333333,0.51,0
Spain,2020 Q3,2020,Q3,28148.059162999998,184899.12262100002,10.245233684938714,12.12756567220982,-0.6333333333333333,0.27,0
Spain,2020 Q4,2020,Q4,26938.89953,184889.914881,10.201326600206482,12.127515872247853,-0.7666666666666666,0.04,0
Spain,2021 Q1,2021,Q1,27488.847467,176925.759795,10.221535654743834,12.083485487381564,0.5,0.31,0
Spain,2021 Q2,2021,Q2,27628.978321000002,170794.069876,10.226620440071285,12.048213840038313,2.3000000000000003,0.45,0
Spain,2021 Q3,2021,Q3,28081.452537999998,167503.364569,10.242864585363124,12.028758717024623,3.4,0.33,0
Spain,2021 Q4,2021,Q4,27934.085532,168299.701086,10.237602925792725,12.03350160409889,5.833333333333333,0.41,0
Spain,2022 Q1,2022,Q1,28104.383943,156090.985337,10.243680855359605,11.958194355553458,7.866666666666667,1.22,0
Spain,2022 Q2,2022,Q2,28707.846504,144375.36422400002,10.264925761733384,11.88017188301865,8.933333333333334,2.63,0
Spain,2022 Q3,2022,Q3,29078.766546,136244.34131299998,10.277763514860668,11.822205180015322,10.066666666666666,2.92,0
Spain,2022 Q4,2022,Q4,28470.399277999997,134147.35185500002,10.256620204690776,11.806694115480026,6.5,3.09,0
Spain,2023 Q1,2023,Q1,29925.665213,137856.183171,10.306471759519123,11.833966269787693,5.0,3.43,1
Spain,2023 Q2,2023,Q2,30882.641907999998,138466.854719,10.33794955449472,11.838386259860558,2.766666666666667,3.4,1
Spain,2023 Q3,2023,Q3,30909.290144,133847.541951,10.338812069608494,11.804456684573674,2.6,3.71,1
Spain,2023 Q4,2023,Q4,30941.250917999998,143153.895228,10.339845553755794,11.871675520969886,3.3666666666666667,3.12,1
Spain,2024 Q1,2024,Q1,31972.179455999998,143742.573298,10.372621411641454,11.875779293311053,3.233333333333333,3.19,1
Spain,2024 Q2,2024,Q2,32428.739343,141891.731045,10.386800325372795,11.86281958833532,3.6,3.35,1
Spain,2024 Q3,2024,Q3,33243.314988,146189.827944,10.411608972877657,11.892661247570842,2.3333333333333335,2.99,1
Spain,2024 Q4,2024,Q4,33151.701333000005,146017.86897100002,10.40884931655951,11.891484283413732,2.3333333333333335,2.89,1
Spain,2025 Q1,2025,Q1,34533.930175,143667.24732300002,10.449697603049906,11.875255122101024,2.6666666666666665,3.391,1
Spain,2025 Q2,2025,Q2,35462.814606,147240.390768,10.476239950589916,11.899821841442167,2.1666666666666665,3.16,1
Spain,2025 Q3,2025,Q3,35534.401794000005,147550.13322000002,10.478256570843232,11.901923283251058,2.8000000000000003,3.26,1
